,Continent,Region,Destination,Female_1990,Female_1995,Female_2000,Female_2005,Female_2010,Female_2015,Female_2019,Male_1990,Male_1995,Male_2000,Male_2005,Male_2010,Male_2015,Male_2019
210,Oceania,Melanesia,Fiji,5675,5518,0,0,5411,5510,5617,5980,5878,0,0,6216,6465,6601
211,Oceania,Melanesia,New Caledonia,12796,15058,17317,0,21397,24235,25610,16500,18892,21294,0,25842,28470,29894
212,Oceania,Melanesia,Papua New Guinea,13620,12863,9903,11676,11547,11803,11852,18427,18946,15105,17103,17757,18028,18233
213,Oceania,Melanesia,Solomon Islands,1727,1709,1631,1239,937,868,842,2198,2179,2080,1597,1211,1137,1114
214,Oceania,Melanesia,Vanuatu,711,683,673,907,1096,1142,1158,854,768,688,903,1095,1136,1157
215,Oceania,Micronesia,Guam,29203,31708,0,0,35294,35633,37392,37917,37547,0,0,37656,37969,39845
216,Oceania,Micronesia,Kiribati,865,876,888,0,1146,1161,1203,826,870,916,0,1261,1283,1328
217,Oceania,Micronesia,Marshall Islands,395,509,655,838,1073,1145,1149,627,796,1029,1310,1676,1779,1786
218,Oceania,Micronesia,Micronesia (Fed States of),525,406,458,444,431,423,427,698,704,579,534,520,514,526
219,Oceania,Micronesia,Nauru,1199,1106,1016,956,249,389,430,1399,1294,1190,1119,437,715,809
220,Oceania,Micronesia,Northern Mariana Islands,11606,15725,21750,20525,13172,11852,11940,13892,15381,16863,15524,9958,8863,8929
221,Oceania,Micronesia,Palau,960,1861,2295,2312,2230,1896,2141,1735,2707,3419,3056,3111,2904,2785
222,Oceania,Polynesia,American Samoa,9723,10672,0,0,11177,11228,11237,10763,11629,0,0,11814,11716,11728
